DateTime,Close,Open,High,Low,Volume
20:00 17.03.22,1937.25,1940.64,1941.13,1935.34,28323
21:00 17.03.22,1942.3,1937.23,1942.65,1936.25,12080
23:00 17.03.22,1941.02,1943.57,1943.57,1940.07,5856
00:00 18.03.22,1943.77,1941.02,1943.95,1940.76,7014
01:00 18.03.22,1941.13,1943.77,1945.12,1940.4,12531
02:00 18.03.22,1936.66,1941.06,1942.24,1936.58,19975
03:00 18.03.22,1933.57,1936.66,1939.17,1932.78,21192
04:00 18.03.22,1935.06,1933.66,1935.34,1926.58,19184
05:00 18.03.22,1933.93,1935.06,1935.06,1933.13,9278
06:00 18.03.22,1933.39,1933.96,1935.45,1931.31,13423
07:00 18.03.22,1932.94,1933.39,1934.86,1929.93,14169
08:00 18.03.22,1934.19,1932.83,1936.07,1931.38,17416
09:00 18.03.22,1932.42,1934.18,1936.97,1931.85,20295
10:00 18.03.22,1933.31,1932.46,1934.13,1929.88,18698
11:00 18.03.22,1934.91,1933.31,1935.18,1928.65,18027
12:00 18.03.22,1939.77,1934.91,1940.49,1934.62,23674
13:00 18.03.22,1935.46,1939.79,1940.69,1934.75,38988
14:00 18.03.22,1933.41,1935.46,1936.71,1921.64,65469
15:00 18.03.22,1936.06,1933.34,1938.18,1929.11,43839
16:00 18.03.22,1932.28,1936.15,1936.65,1930.68,33684
17:00 18.03.22,1928.23,1932.28,1932.78,1926.19,32616
18:00 18.03.22,1929.37,1928.24,1931.12,1926.36,27623
19:00 18.03.22,1923.62,1929.38,1929.98,1923.01,21749
20:00 18.03.22,1920.01,1923.66,1924.07,1917.8,39644
21:00 18.03.22,1921.09,1920.15,1921.54,1918.03,10875
23:00 20.03.22,1920.03,1922.6,1926.06,1918.3,12177
00:00 21.03.22,1918.82,1920.01,1921.22,1918.07,7948
01:00 21.03.22,1922.03,1918.96,1923.98,1918.68,12827
02:00 21.03.22,1928.03,1922.06,1928.62,1921.27,24739
03:00 21.03.22,1926.29,1928.07,1928.57,1925.13,15264
04:00 21.03.22,1926.34,1926.27,1927.64,1925.27,9911
